 Sun Oct 20 09:11:59 2024
        MODEL     FREQUENCY
          20           2
          21           2
          24           1
          27           1
          33           1
          48           1
          57           1
          59           5
          61           3
          67           1
          78           1
          80           1
          85          34
          86           5
          90           1
          92           3
          94           3
          95           4
          96           2
          98           1
          99           1
         101           2
         111           1
         122           1
         133           1
         134           2
         138           2
         139           1
         140           1
         141           2
         144           1
         149           2
         150           6
         161           1
         163           7
         172           1
         177           1
         180           4
         187           2
         191           1
         198           1
         201           1
         214           1
         218           3
         221           8
         222           4
         225           1
         226           1
         228           5
         231           2
         232           1
         235           1
         237           1
         239           1
         242           1
         248           1
         254           1
         255           1
         259           1
         261           1
         262           1
         263           9
         269           1
         278          14
         281           1
         283           2
         286           2
         289           2
         293           1
         297           1
         299           1
         300           1
         301           1
         315           1
         319           1
         340           4
         342           5
         344           1
         345           1
         352           6
         354           3
         362           2
         368           1
         369           1
         372           4
         374           1
         375           4
         385           1
         387           6
         390           3
         392           2
         394           1
         395           1
         399           4
         402           1
         412           2
         425           1
         432           4
         434           4
         438           1
         448           2
         454           5
         458           2
         461           5
         477           1
         479           1
         490           1
         496           1
         498           3
         499           1
         513           3
         518           1
         520           4
         521          15
         523           5
         530           4
         532           1
         538           2
         540           1
         542           3
         545           3
         548           2
         554           2
         558           1
         566           1
         579           2
         590           1
         593           1
         597           1
         599           1
         600           1
         611           2
         612           6
         613           4
         622           1
         624           8
         625           1
         627           2
         631           1
         635           2
         639           1
         646           3
         648           2
         663           1
         667           1
         678           3
         684           1
         685           1
         692           1
         695           1
         702           1
         703           1
         706           1
         714           2
         716           1
         719           1
         720           1
         722           1
         723           1
         728           1
         732           2
         734           3
         736           1
         739           1
         741           1
         748           1
         749           1
         766           1
         767           2
         773           3
         785           2
         790           4
         791           4
         792           3
         794           1
         828           1
         836           1
         840           1
         843           1
         844           1
         845           1
         847           4
         848           4
         849           1
         853           1
         854           1
         855           4
         856           2
         861           3
         864           1
         866           3
         884           1
         893           9
         899           1
         905           5
         907           1
         911           1
         912           3
         920           1
         937           2
         942           1
         945           1
         950           3
         953           1
         954          13
         959           1
         962           1
         977           5
         980           1
         981           2
         982           2
         996           3
         999           1
        1001           3
        1002           3
        1003           2
        1014          32
        1017           1
        1019           1
        1021           3
        1025           1
        1029           1
        1041           1
        1044           1
        1045           2
        1046           1
        1049           5
        1052           1
        1055           1
        1062           4
        1070           2
        1076           4
        1080           2
        1083           6
        1084           1
        1087           1
        1088           1
        1089           1
        1099           2
        1104           2
        1107           1
        1110           1
        1113           1
        1117           1
        1118           1
        1122           2
        1129           1
        1131           2
        1134           3
        1135           1
        1140           1
        1143           1
        1146           1
        1149           1
        1152           2
        1157           1
        1171           2
        1174           1
        1176           1
        1185           1
        1194           3
        1198           1
        1207           2
        1214           3
        1217           3
        1219           1
        1221           1
        1223           1
        1229           1
        1245           2
        1246           1
        1252           1
        1253           4
        1254           1
        1255           1
        1259          19
        1266           1
        1267           1
        1269           1
        1274           1
        1276           1
        1278           2
        1280           1
        1281           1
        1290           1
        1293           1
        1295           2
        1298           1
        1299           1
        1305           1
        1306           1
        1308           3
        1312           1
        1315           2
        1319           3
        1320           1
        1326           1
        1328           1
        1335           1
        1341           1
        1343           1
        1345           1
        1348           7
        1350           2
        1360           3
        1365           1
        1367           1
        1375           1
        1383           1
        1384           1
        1393           1
        1394           1
        1401           2
        1402           2
        1403           1
        1407           1
        1414           3
        1422           3
        1424           1
        1427           2
        1431           5
        1432           3
        1433           3
        1436           1
        1440           2
        1443           1
        1445           1
        1458           1
        1462           1
        1468           1
        1473           1
        1482           1
        1484           1
        1488           1
        1504           1
        1513           1
        1516           1
        1520           1
        1523          21
        1526           1
        1528           3
        1545           1
        1549           1
        1573          21
        1574           2
        1575           3
        1576           1
        1580           3
        1582           3
        1584           3
        1586           1
        1597           3
        1599           1
        1602           2
        1606           2
        1608           2
        1612           1
        1614           2
        1616           1
        1622           1
        1625           1
        1629           1
        1633           2
        1643           1
        1649           4
        1656           1
        1662           1
        1673           1
        1675           1
        1683           1
        1686           1
        1688           1
        1691           2
        1693           2
        1694           1
        1695           2
        1698           1
        1700           2
        1710           1
        1714           2
        1718           1
        1725           3
        1730           1
        1731           4
        1732           1
        1737           1
        1738           5
        1740           3
        1759           5
        1762           3
        1773           1
        1777           1
        1780           1
        1784           1
        1791           1
        1798           2
        1803           4
        1807           1
        1811           1
        1833           8
        1837           1
        1838           1
        1842           1
        1843           3
        1848           1
        1854           1
        1857           2
        1858           1
        1860           3
        1862           1
        1867           1
        1873           3
        1874           5
        1876           2
        1877           1
        1881           2
        1882           1
        1883          10
        1890           1
        1892           2
        1909           1
        1922          11
        1923           1
        1925           1
        1935           3
        1938           1
        1939           1
        1943           2
        1947           1
        1949           1
        1952           1
        1953           1
        1954           1
        1956           2
        1961           1
        1970           1
        1971           1
        1973           1
        1975           4
        1979           1
        1981           1
        1982           2
        1985           2
        1991           1
        1992           1
        1993           4
        1999           1
