 Sun Oct 20 19:39:10 2024
        MODEL     FREQUENCY
           2          34
          16           1
          21           2
          37           1
          46           4
          53           1
          55           6
          78          14
         129           8
         131           1
         144          19
         146           4
         161           4
         168           1
         171           6
         173           1
         174           2
         187           1
         204           9
         247           1
         279           1
         286           2
         315          21
         333           1
         347           2
         419          10
         421           1
         442           3
         448           1
         456           1
         463           3
         464           3
         469           2
         470          26
         472           3
         474          13
         476           2
         485          33
         494           4
         507           1
         510          11
         511           2
         515           2
         520           1
         523           2
         525           5
         531           3
         543           1
         550           1
         561           1
         574           5
         577          13
         583           1
         595           6
         597           1
         602           3
         607           7
         612           2
         626          11
         645           9
         659           4
         668           4
         679           5
         680           7
         702           2
         709          34
         712           2
         731           2
         734           2
         747           1
         757           1
         760           1
         775          13
         795          16
         820           5
         826          20
         828           9
         847           5
         860           1
         870           5
         880           1
         891           1
         902           4
         913           1
         925           5
         963           1
         968           1
         977           1
         993          13
        1006           8
        1014           3
        1024          13
        1026           2
        1040           1
        1067           3
        1097           5
        1100           1
        1106           4
        1114          18
        1119           1
        1120           1
        1137           1
        1138           9
        1149           2
        1159           7
        1165           3
        1226           5
        1256           1
        1263           1
        1272           1
        1281           3
        1282           8
        1297           9
        1300           1
        1305           1
        1315          10
        1320           2
        1331           3
        1338           1
        1357           2
        1367           1
        1377           1
        1378           1
        1404           1
        1405           1
        1406          21
        1414           1
        1417           6
        1420          17
        1422          33
        1427           5
        1438           1
        1454          25
        1464           8
        1479           9
        1518           1
        1546           1
        1548           2
        1556           5
        1582           3
        1609           1
        1629           1
        1641           2
        1659          11
        1661           2
        1673           2
        1695           1
        1696           1
        1697           2
        1727          31
        1728           2
        1744           4
        1774           1
        1791          34
        1798           1
        1856           2
        1861           5
        1869           4
        1874           5
        1887          17
        1891           5
        1893          33
        1899          29
        1936           1
        1941           3
        1948           1
        1950          11
        1953           2
        1954           1
        1997           5
