 Wed Oct 30 07:50:21 2024
        MODEL     FREQUENCY
           1           1
           7           1
          28           2
          31           1
          37           1
          47           2
          50           2
          62           1
          67           2
          69           4
          72           3
          73           1
          79           1
          88           2
          90           3
          95           1
         110           7
         116           2
         118           1
         119           5
         132           1
         134           1
         139           6
         140           1
         141           2
         146           2
         149           1
         150           1
         158           3
         162           1
         165           1
         169           1
         177           1
         179           1
         183           1
         195           3
         205           2
         207           1
         215           3
         221           1
         224           3
         225           8
         233           4
         236           2
         241           1
         242           1
         252           2
         256           5
         259           5
         260           1
         262           1
         269           2
         271           1
         272           1
         276           3
         278           1
         280           1
         285           1
         294           1
         296           1
         303           2
         310           4
         313           2
         315           1
         316           2
         323           1
         324           1
         332           1
         333           1
         343           1
         346           1
         350           1
         352           3
         361           1
         362           2
         365           1
         368           2
         375           1
         378           1
         381           2
         388           2
         392           2
         395           4
         398           4
         399           4
         400           1
         403           1
         408           1
         412           1
         415           1
         416           1
         417           1
         420           1
         421           4
         422           1
         424           1
         425           1
         434           6
         435           1
         442           1
         454           1
         472           1
         478           1
         480           1
         482           1
         485           1
         491           3
         495           1
         497           1
         498           2
         499           2
         501           2
         502           2
         503           1
         509           1
         516           1
         520           4
         528           5
         533           1
         536           1
         537           4
         540           4
         542           1
         547           2
         561           1
         566           2
         568           2
         569           1
         573           1
         575           5
         587           2
         591           1
         602           1
         603           2
         604           2
         606           1
         611           1
         617           1
         618           2
         619          12
         620           3
         622           2
         629           1
         631           1
         632           1
         636           3
         640           2
         641           4
         643           1
         644           1
         646           2
         648           1
         649           1
         651           5
         654           2
         662           2
         663           1
         666           1
         669           1
         670           1
         675           1
         683           1
         687           5
         696           4
         697           1
         698           1
         700           1
         706           1
         709           1
         711           2
         714           2
         715           8
         723           1
         725           1
         727           1
         732           1
         734           1
         735           1
         741           1
         743           1
         745           1
         747           2
         750           1
         754           6
         759           2
         765          22
         779           1
         780           6
         783          12
         788          33
         797           2
         801           3
         804           3
         816           3
         827           1
         832           2
         837           2
         841           1
         845           1
         846           1
         862           1
         867           1
         873           2
         897           1
         902           1
         904           1
         905           1
         906           1
         910           2
         911           1
         918           4
         924           3
         928           2
         931           3
         937           1
         939           2
         950           4
         958           1
         959           1
         969           2
         970           1
         971           1
         978           1
         982           2
         984           2
         985           1
         989           1
         990           1
         996           1
        1001           2
        1004           1
        1005           1
        1007           2
        1011           1
        1013           1
        1014           2
        1018           1
        1019           6
        1021           2
        1024           1
        1026           5
        1029           1
        1036           3
        1037           1
        1038           1
        1040           1
        1050           2
        1052           1
        1055           1
        1056           1
        1059           2
        1060           1
        1064           2
        1078           1
        1079           2
        1088           8
        1090           1
        1092           1
        1093           1
        1104           1
        1116           1
        1117           3
        1118           1
        1122           1
        1139           1
        1146          15
        1159           2
        1160           1
        1163           2
        1172           2
        1177           1
        1185           5
        1186           1
        1188           1
        1191           5
        1192           1
        1201           1
        1203           1
        1204           1
        1206           2
        1215          15
        1220           1
        1222           5
        1226          27
        1230           1
        1233           1
        1238           4
        1241           3
        1247           1
        1251           4
        1254           1
        1258           1
        1261           1
        1269           1
        1277           1
        1280           1
        1289           3
        1291           1
        1295           1
        1298           1
        1300           2
        1302           1
        1317           1
        1322           2
        1323           1
        1330           1
        1333           2
        1334           5
        1346           1
        1348          19
        1351           1
        1356           2
        1357           3
        1361           2
        1370           3
        1371           3
        1373           7
        1378           2
        1388           1
        1390           2
        1400           3
        1401           2
        1407           1
        1411           1
        1414           3
        1415           7
        1417           4
        1419           3
        1420           1
        1422           1
        1427           1
        1430           5
        1432           1
        1440           1
        1441           1
        1442           1
        1447           1
        1458           3
        1465           2
        1467           3
        1468           1
        1473           1
        1475           3
        1483           3
        1484          11
        1502           2
        1505           2
        1509           2
        1510           1
        1511           5
        1529           1
        1532           3
        1552           1
        1553           1
        1569           1
        1570           1
        1594           1
        1595           1
        1600           1
        1603           2
        1610           1
        1619           3
        1624           2
        1631           4
        1641           3
        1642           1
        1643           4
        1648           1
        1651           1
        1656           2
        1662           1
        1665           1
        1671           1
        1681           1
        1682           1
        1683           1
        1687           6
        1693           1
        1695           1
        1705           1
        1713           1
        1714           1
        1723           2
        1729           1
        1735           1
        1740           1
        1747           1
        1748           1
        1752           1
        1755           1
        1762           2
        1763           2
        1764           2
        1766           2
        1770           1
        1782           2
        1783           3
        1787           1
        1790           1
        1792           9
        1796           3
        1797           1
        1799           2
        1803           1
        1805           1
        1810           1
        1813           1
        1815           1
        1817           7
        1825           2
        1826           2
        1827           2
        1835           3
        1840           2
        1845           1
        1860           1
        1865           1
        1866           1
        1868           3
        1870           2
        1872           2
        1874           3
        1878           2
        1881           1
        1894           1
        1897           1
        1903           2
        1919           1
        1920           1
        1922           3
        1923           1
        1927           2
        1928           4
        1929           1
        1931           2
        1933           2
        1934           2
        1935           2
        1937           1
        1939           1
        1945           1
        1947           2
        1949           1
        1950           2
        1951           2
        1952           4
        1969           1
        1971           2
        1982           4
        1986           1
        1989           1
        1991           1
        1992           3
        1994           1
        1997           1
        2000           2
