 Wed Oct 30 08:55:43 2024
        MODEL     FREQUENCY
           8           1
           9           1
          10           1
          12           1
          15           1
          23           1
          29           1
          30           1
          32           2
          35           1
          36           1
          38           1
          40           1
          41           2
          42           1
          43           1
          52           1
          54           1
          55           8
          57           5
          58           1
          60           1
          65           3
          66           1
          73           1
          74           2
          78           1
          80           2
          81           1
          83           1
          84           2
          86           3
          91           1
          98           1
         101           1
         106           1
         108           2
         111           1
         122           1
         124           1
         125           2
         127           2
         128           1
         129           1
         130           1
         136           1
         145           1
         148           3
         151           1
         153           2
         154           1
         156           1
         159           1
         168           1
         169           1
         177           1
         178           1
         181           2
         186           2
         193           1
         199           3
         202           1
         209           1
         210           1
         213           3
         217           5
         219           4
         223           1
         229           1
         232           1
         233           1
         239           1
         244           1
         246           1
         248           3
         251           1
         252           2
         253           3
         258           3
         261           1
         271           1
         272           2
         274           1
         277           1
         279           2
         281           1
         282           1
         285           2
         289           1
         300           3
         306           1
         310           3
         313           2
         315           1
         318           1
         324           1
         326           1
         327           2
         336           1
         337           2
         339           4
         340           1
         343           1
         345           1
         346           2
         349           1
         354           1
         355           2
         360           1
         363           2
         364           2
         365           1
         367           4
         371           6
         373           1
         376           1
         379           3
         383           5
         384           1
         386           1
         390           4
         392           1
         395           2
         398           1
         401           7
         403           1
         405           1
         406           4
         407           1
         409           1
         412           2
         413           2
         421           3
         423           1
         426           1
         427           1
         428           4
         429           4
         431           1
         436           1
         438           1
         444           1
         445           1
         446           4
         448           1
         449           3
         451           3
         453           1
         455           2
         458           3
         474           1
         480           1
         489           1
         490           1
         494           1
         509           1
         513           3
         514           5
         517           1
         522           3
         529           1
         535           3
         538           3
         539           1
         543           1
         545           2
         551           1
         552           2
         553           1
         557           1
         558           1
         559           1
         560           1
         563           1
         574           1
         576           5
         577           1
         578           1
         579           3
         583           1
         586           1
         588           2
         593           1
         594           1
         595           1
         608           1
         610           2
         612           1
         614           3
         615           1
         622           1
         623           1
         628           1
         633           6
         634           2
         639           1
         643           2
         644           3
         649           1
         650           2
         659           1
         660           1
         661           1
         673           4
         681           1
         685           1
         686           2
         691           1
         693           1
         694           2
         705           2
         710           1
         713           1
         714           1
         715           1
         717           1
         719           2
         720           2
         727           1
         735           1
         736           1
         740           1
         742           1
         743           1
         744           2
         747           2
         748           1
         749           2
         752           1
         757           5
         759           1
         760           1
         767           1
         770           3
         772           1
         773           1
         774           1
         775           1
         780           4
         783           2
         784           2
         787           2
         789           2
         796           1
         797           1
         798           2
         803           1
         805           1
         806           1
         807           2
         810           1
         813           2
         815           2
         816           2
         817           1
         823           1
         825           1
         826           1
         827           1
         828           1
         829           1
         830           2
         833           1
         834           2
         835           1
         840           4
         842           1
         847           1
         850           2
         852           1
         853           3
         858           1
         874           1
         875           2
         878           1
         886           2
         887           1
         889           1
         893           1
         894           3
         898           1
         900           1
         903           1
         905           1
         906           2
         911           1
         915           2
         916           1
         918           2
         924           1
         925           1
         926           2
         928           1
         931           1
         934           2
         937           5
         938           1
         949           1
         951           8
         952           1
         953           1
         957           1
         959           2
         966           1
         967           2
         971           1
         977           1
         978           1
         982           1
         985           1
         986           2
         992           2
         993           1
         994           3
         999           2
        1002           1
        1005           1
        1008           1
        1011           1
        1013           1
        1015           1
        1016           2
        1017           1
        1025           1
        1032           1
        1036           1
        1043           1
        1044           3
        1049           1
        1050           1
        1054           1
        1055           1
        1059           1
        1060           1
        1062           1
        1063           1
        1066           2
        1067           2
        1070           1
        1071           2
        1073           1
        1074           2
        1080           1
        1082           1
        1085           2
        1086           1
        1089           2
        1090           1
        1094           1
        1099           1
        1101           2
        1102           1
        1104           1
        1111           2
        1112           1
        1113           1
        1120           1
        1121           1
        1123           2
        1126           1
        1127           1
        1129           2
        1136           1
        1139           2
        1140           4
        1143           2
        1148           2
        1152           1
        1158           2
        1159           2
        1161           1
        1164           1
        1166           1
        1168           2
        1173           3
        1178           1
        1179           1
        1181           1
        1183           2
        1184           1
        1186           4
        1189           2
        1193           1
        1195           2
        1196           2
        1197           1
        1198           1
        1199           1
        1200           2
        1203           1
        1205           1
        1207           2
        1214           1
        1215           1
        1223           2
        1224           1
        1228           1
        1230           1
        1233           1
        1234           1
        1235           1
        1240           1
        1242           1
        1244           2
        1245           2
        1258           2
        1263           1
        1264           1
        1266           1
        1267           1
        1269           2
        1270           2
        1274           1
        1278           1
        1279           1
        1282           1
        1283           1
        1284           1
        1287           5
        1290           1
        1293           1
        1301           3
        1303           1
        1306           1
        1308           1
        1309           1
        1311           1
        1312           1
        1313           4
        1317           1
        1318           1
        1329           1
        1332           1
        1333           1
        1334           3
        1335           1
        1336           1
        1340           3
        1341           1
        1344           1
        1348           1
        1352           6
        1353           1
        1356           5
        1358           2
        1359           1
        1362           1
        1364           2
        1365           1
        1372           1
        1377           1
        1378           1
        1381           1
        1383           2
        1386           3
        1388           4
        1390           1
        1391           1
        1393           1
        1396           2
        1402           1
        1408           1
        1409           1
        1410           1
        1411           1
        1416           2
        1418           1
        1421           2
        1423           1
        1440           2
        1441           2
        1443           1
        1453           5
        1456           1
        1458           1
        1461           1
        1462           1
        1464           1
        1468           2
        1470           1
        1472           3
        1474           1
        1479           1
        1480           7
        1485           1
        1486           1
        1489           1
        1490           2
        1493           1
        1495           2
        1498           1
        1503           2
        1507           3
        1521           1
        1522           1
        1523           2
        1533           1
        1537           2
        1538           2
        1544           1
        1549           1
        1560           1
        1561           2
        1565           1
        1572           1
        1583           1
        1584           2
        1585           3
        1586           2
        1589           2
        1592           1
        1593           3
        1600           2
        1603           1
        1611           1
        1616           3
        1619           1
        1620           1
        1624           1
        1629           1
        1630           1
        1637           1
        1639           1
        1642           3
        1643           1
        1646           1
        1647           1
        1652           2
        1655           2
        1662           4
        1663           2
        1666           1
        1670           1
        1672           1
        1677           2
        1678           1
        1681           1
        1682           1
        1684           1
        1700           1
        1701           1
        1703           1
        1705           1
        1710           1
        1718           1
        1720           1
        1722           2
        1724           1
        1725           1
        1732           1
        1733           1
        1736           1
        1740           1
        1741           1
        1752           3
        1753           1
