 Tue Sep 10 07:01:48 2024
        MODEL     FREQUENCY
           3           1
           5           3
           9           1
          12           1
          13           1
          22           5
          31          23
          34           1
          40           3
          51           1
          57           2
          62           1
          65           4
          69           3
          73           7
          84           3
          91           1
          98           4
         100           1
         102           3
         103           8
         106           1
         116           1
         118          16
         141           1
         142           2
         161           1
         163           9
         164           1
         169           1
         171           4
         174          22
         180           8
         185           8
         189          58
         204           8
         208           9
         222           2
         250           1
         258           3
         260           2
         261           1
         271           1
         279           8
         280           3
         291           6
         298           3
         315           3
         328           1
         335           3
         336           1
         358           2
         366           2
         373           1
         387           6
         392           2
         395           1
         405           2
         417           1
         428           1
         429           1
         452           1
         455           2
         459           1
         460           1
         462           4
         463          11
         464           1
         465           2
         475           2
         477           1
         478           1
         483           1
         499           2
         508           1
         512           9
         518           6
         521           2
         524          11
         528           3
         532           1
         544          14
         570           6
         587           1
         589           1
         591           3
         595           4
         598           3
         604           2
         612           1
         620           1
         633           2
         636           1
         638           1
         640           1
         644           2
         646           1
         648           2
         654           5
         658           1
         661           3
         669           5
         671           1
         672           1
         689           1
         690           1
         694           1
         699           4
         701           1
         719           1
         725           1
         732           2
         739           1
         740           1
         741           2
         743           3
         744           1
         750           6
         754           1
         765           1
         774           2
         776          14
         784           1
         786           7
         798           2
         804           3
         805           9
         808           3
         814           6
         818           5
         819           1
         820           1
         825           1
         827           1
         830           1
         835           1
         840           1
         845           6
         849           5
         851           3
         853           1
         857           1
         864           1
         866           2
         869           3
         875           4
         876           2
         880           7
         890           2
         892           5
         899           1
         915           1
         919           1
         920           1
         926           2
         937           2
         948           1
         956           5
         961           1
         970           3
         972           1
         976           2
         979           4
         988           1
        1003          18
        1019           1
        1021           1
        1028           1
        1030           2
        1031           1
        1035          13
        1040           1
        1042          25
        1051           5
        1058           1
        1067           1
        1075           1
        1076           7
        1078           1
        1083           1
        1084          10
        1085           2
        1095           2
        1105          13
        1125          17
        1142           2
        1143           2
        1147           6
        1156           1
        1166           1
        1175           2
        1178           2
        1185           1
        1191           1
        1199           1
        1201           2
        1204           1
        1205           1
        1206           2
        1208           2
        1213           2
        1233           1
        1238           1
        1240           1
        1263           3
        1265           1
        1268           3
        1273           3
        1280           5
        1283           6
        1284           1
        1289           6
        1295           4
        1297           1
        1298           4
        1300           1
        1302           3
        1304           1
        1315           1
        1329           1
        1335           1
        1346           2
        1347           4
        1350           1
        1354           1
        1361           1
        1373           1
        1375           1
        1376           1
        1408           1
        1414           2
        1434           1
        1438           2
        1440           3
        1458           2
        1461           1
        1463           1
        1471           8
        1475           1
        1482           4
        1496           2
        1520           5
        1532           1
        1547           1
        1553           1
        1556           1
        1563           3
        1564           2
        1581           4
        1585           1
        1589           5
        1617           2
        1627           3
        1636           3
        1641           6
        1642           1
        1650           3
        1657           3
        1658           3
        1665           1
        1667           2
        1674          19
        1679           2
        1680           5
        1683           4
        1685           1
        1687           1
        1691           1
        1700           7
        1712           6
        1726           1
        1730           1
        1740           2
        1744           1
        1755           6
        1756           5
        1759           2
        1761           1
        1766           1
        1767           1
        1774           1
        1780           1
        1786           1
        1789           1
        1790           1
        1793           3
        1807           1
        1819           2
        1826           1
        1833           1
        1836           2
        1838           2
        1845           1
        1859           4
        1862           2
        1865           3
        1876           2
        1877           7
        1886           1
        1889           2
        1890           1
        1905           5
        1920           1
        1921           1
        1924           2
        1946           5
        1948           6
        1957           5
        1958           1
        1968           6
        1981           1
        1987           4
