 Sun Oct 20 07:03:42 2024
        MODEL     FREQUENCY
           1           1
           6           2
           8           2
           9           1
          12           2
          13           2
          16           1
          19           2
          20           1
          22           1
          26           1
          29           1
          30           1
          31           1
          34           1
          38           2
          39           1
          40           1
          41           1
          42           1
          43           1
          46           2
          47           2
          53           1
          54           1
          55           1
          58           1
          59           1
          64           1
          65           1
          68           1
          73           2
          75           1
          77           1
          83           1
          84           1
          89           1
          90           2
          92           1
          93           2
         102           1
         103           1
         108           1
         112           1
         113           1
         116           1
         119           1
         121           1
         128           1
         129           1
         131           2
         132           1
         133           1
         135           2
         141           1
         142           1
         145           1
         146           2
         147           1
         148           3
         150           1
         151           1
         152           1
         153           3
         156           1
         160           1
         163           2
         168           1
         170           1
         171           1
         177           2
         184           1
         186           1
         189           1
         194           1
         195           1
         196           1
         202           1
         203           1
         205           2
         208           1
         214           3
         215           2
         219           2
         222           2
         227           1
         229           1
         234           1
         236           3
         241           1
         244           1
         246           2
         248           1
         250           1
         253           1
         255           1
         256           2
         258           1
         259           3
         260           1
         267           1
         268           1
         269           2
         273           1
         276           1
         277           1
         280           1
         281           1
         283           1
         288           1
         291           1
         294           1
         295           1
         299           1
         302           1
         304           1
         305           3
         307           2
         311           1
         313           2
         319           2
         320           1
         323           1
         324           3
         328           1
         330           1
         333           1
         335           1
         336           1
         338           1
         339           1
         340           1
         341           2
         342           1
         343           1
         344           1
         348           2
         349           1
         350           1
         351           2
         356           1
         359           1
         361           1
         366           1
         369           1
         372           1
         373           2
         374           2
         378           2
         379           1
         380           2
         381           1
         387           2
         389           1
         391           1
         399           2
         404           1
         408           1
         413           1
         414           1
         415           2
         417           1
         418           1
         419           1
         420           1
         421           1
         425           2
         426           1
         427           1
         428           1
         429           1
         430           2
         432           2
         436           1
         438           1
         439           1
         440           1
         442           1
         445           2
         447           1
         449           1
         453           1
         454           1
         455           1
         456           1
         458           1
         459           3
         461           1
         463           2
         465           1
         466           1
         475           1
         477           1
         484           1
         485           1
         487           1
         488           1
         490           3
         492           1
         495           1
         500           1
         512           1
         513           2
         515           1
         516           1
         519           1
         521           1
         528           1
         530           1
         533           2
         537           1
         538           2
         539           1
         557           1
         561           1
         562           1
         563           2
         564           1
         566           2
         567           1
         570           1
         572           1
         574           2
         585           1
         588           1
         593           3
         597           1
         598           1
         599           1
         606           1
         607           1
         609           1
         617           1
         619           2
         622           1
         624           1
         625           3
         630           1
         634           1
         638           1
         641           1
         642           1
         645           1
         647           2
         648           2
