### DATA:
#
# 362
#      Q             I(Q)           Error     
7.35146959E-03  1.27389538E-01  2.34685484E-03
8.55662854E-03  7.24762440E-02  1.40644545E-03
9.76178749E-03  4.41271454E-02  1.10474797E-03
1.09669464E-02  3.03335696E-02  9.39438213E-04
1.21721054E-02  2.15331972E-02  8.33328627E-04
1.33772643E-02  1.68768138E-02  7.60400202E-04
1.45824233E-02  1.30836695E-02  7.12763565E-04
1.57875822E-02  1.11928388E-02  6.92768954E-04
1.69927412E-02  8.19522887E-03  6.62319409E-04
1.81979001E-02  8.09018463E-03  6.18095137E-04
1.94030591E-02  7.75496662E-03  5.87859284E-04
2.06082180E-02  7.05038011E-03  5.51308179E-04
2.18133770E-02  6.96522593E-03  4.78691747E-04
2.30185359E-02  5.89564592E-03  4.25724173E-04
2.42236949E-02  5.26838154E-03  3.97803867E-04
2.54288538E-02  5.29712439E-03  3.81598086E-04
2.66340128E-02  5.11829555E-03  3.68776941E-04
2.78391717E-02  4.62030023E-03  3.59029206E-04
2.90443307E-02  5.52995056E-03  3.49424034E-04
3.02494896E-02  5.24972379E-03  3.39902961E-04
3.14546486E-02  4.73773777E-03  3.32877226E-04
3.26598075E-02  4.58961278E-03  3.20516620E-04
3.38649665E-02  4.59112227E-03  3.11797042E-04
3.50701254E-02  4.87909019E-03  3.04866256E-04
3.62752844E-02  4.80152518E-03  3.00398911E-04
3.74804433E-02  4.32661623E-03  2.97215651E-04
3.86856023E-02  4.11859602E-03  2.93327682E-04
3.98907612E-02  4.68072444E-03  2.90146889E-04
4.10959202E-02  4.57768589E-03  2.87607801E-04
4.23010791E-02  4.26516086E-03  2.84204795E-04
4.35062381E-02  4.64951247E-03  2.80894851E-04
4.47113970E-02  4.54216450E-03  2.78992648E-04
4.59165560E-02  4.16272283E-03  2.76011764E-04
4.71217149E-02  3.97599339E-03  2.74203764E-04
4.83268739E-02  4.04910147E-03  2.70292023E-04
4.95320328E-02  4.13388014E-03  2.67840014E-04
5.07371917E-02  4.13074642E-03  2.64787371E-04
5.19423507E-02  4.39851582E-03  2.63554836E-04
5.31475096E-02  3.93127501E-03  2.61129928E-04
5.43526686E-02  3.85533124E-03  2.58507114E-04
5.55578275E-02  4.26836610E-03  2.56769219E-04
5.67629865E-02  4.01507318E-03  2.54880264E-04
5.79681454E-02  4.25043702E-03  2.52154632E-04
5.91733044E-02  4.19811904E-03  2.49880971E-04
6.03784633E-02  3.77910733E-03  2.48662638E-04
6.15836223E-02  4.00421768E-03  2.46568071E-04
6.27887812E-02  3.48590016E-03  2.43847817E-04
6.39939402E-02  3.84969860E-03  2.42388737E-04
6.51990991E-02  4.20349389E-03  2.40795198E-04
6.64042581E-02  3.86874378E-03  2.39314069E-04
6.76094170E-02  3.96079272E-03  2.36810697E-04
6.88145760E-02  3.92282605E-03  2.35172152E-04
7.00197349E-02  3.93784195E-03  2.33545923E-04
7.12248939E-02  3.71645540E-03  2.32205377E-04
7.24300528E-02  4.40260321E-03  2.30426481E-04
7.36352118E-02  3.68174762E-03  2.28764908E-04
7.48403707E-02  3.60639542E-03  2.26862263E-04
7.60455297E-02  3.92902941E-03  2.26334855E-04
7.72506886E-02  3.78325731E-03  2.23403983E-04
7.84558476E-02  3.98786068E-03  2.22036103E-04
7.96610065E-02  3.93103808E-03  2.21092044E-04
8.08661655E-02  4.13358510E-03  2.19586887E-04
8.20713244E-02  3.73877138E-03  2.18848814E-04
8.32764834E-02  4.29974496E-03  2.16633454E-04
8.44816423E-02  4.07518297E-03  2.15677475E-04
8.56868013E-02  4.36005592E-03  2.14256439E-04
8.68919602E-02  4.43775952E-03  2.13141833E-04
8.80971192E-02  3.91168743E-03  2.11800309E-04
8.93022781E-02  4.20733243E-03  2.10383162E-04
9.05074371E-02  3.94709408E-03  2.09391629E-04
9.17125960E-02  4.19456363E-03  2.08358490E-04
9.29177550E-02  4.02124524E-03  2.06644996E-04
9.41229139E-02  4.21051830E-03  2.05653394E-04
9.53280729E-02  4.11344022E-03  2.04860559E-04
9.65332318E-02  4.16537225E-03  2.03489955E-04
9.77383908E-02  4.33034897E-03  2.02662428E-04
9.89435497E-02  3.53308320E-03  2.01118528E-04
1.00148709E-01  3.79519314E-03  2.00663949E-04
1.01353868E-01  3.93448472E-03  2.05478142E-04
1.02559027E-01  3.96486223E-03  2.08798074E-04
1.03764186E-01  3.91610563E-03  2.11414439E-04
1.04969344E-01  3.98753583E-03  2.12832354E-04
1.06174503E-01  3.59949619E-03  2.14814884E-04
1.07379662E-01  3.54638696E-03  2.15827837E-04
1.08584821E-01  3.55998427E-03  2.17317836E-04
1.09789980E-01  3.69809866E-03  2.14991346E-04
1.10995139E-01  3.65458131E-03  2.08861241E-04
