### DATA:
#
# 362
#      Q             I(Q)           Error     
7.35146959E-03  1.57254076E-01  3.75519991E-03
8.55662854E-03  9.64149117E-02  2.19071284E-03
9.76178749E-03  6.28918290E-02  1.71621889E-03
1.09669464E-02  4.68997955E-02  1.47346808E-03
1.21721054E-02  3.71600866E-02  1.32206548E-03
1.33772643E-02  3.07375848E-02  1.20975664E-03
1.45824233E-02  2.78817028E-02  1.14125870E-03
1.57875822E-02  2.52955914E-02  1.11459643E-03
1.69927412E-02  2.37532407E-02  1.06933070E-03
1.81979001E-02  2.26994663E-02  1.00163994E-03
1.94030591E-02  2.06644893E-02  9.55555588E-04
2.06082180E-02  1.98308319E-02  8.96809064E-04
2.18133770E-02  2.03446835E-02  7.80380191E-04
2.30185359E-02  1.91199034E-02  6.94817258E-04
2.42236949E-02  1.87578872E-02  6.50019106E-04
2.54288538E-02  1.84604108E-02  6.23176433E-04
2.66340128E-02  1.80185705E-02  6.02630340E-04
2.78391717E-02  1.75536126E-02  5.87323122E-04
2.90443307E-02  1.69257402E-02  5.71231544E-04
3.02494896E-02  1.67933390E-02  5.56239253E-04
3.14546486E-02  1.67141587E-02  5.44763869E-04
3.26598075E-02  1.66177869E-02  5.24590630E-04
3.38649665E-02  1.64968729E-02  5.10612968E-04
3.50701254E-02  1.61111921E-02  4.98569896E-04
3.62752844E-02  1.61942303E-02  4.91834199E-04
3.74804433E-02  1.59397960E-02  4.86785080E-04
3.86856023E-02  1.56121895E-02  4.80962964E-04
3.98907612E-02  1.58395737E-02  4.75609489E-04
4.10959202E-02  1.53073400E-02  4.71099140E-04
4.23010791E-02  1.47741139E-02  4.65565221E-04
4.35062381E-02  1.47548527E-02  4.60286066E-04
4.47113970E-02  1.48641467E-02  4.57290001E-04
4.59165560E-02  1.45567685E-02  4.52415971E-04
4.71217149E-02  1.44582272E-02  4.49341955E-04
4.83268739E-02  1.41493738E-02  4.42717643E-04
4.95320328E-02  1.35385126E-02  4.39608796E-04
5.07371917E-02  1.32702276E-02  4.34235530E-04
5.19423507E-02  1.34402663E-02  4.32076212E-04
