### DATA:
#
# 63
#      Q             I(Q)           Error     
1.09669464E-02  4.50426221E-02  6.68992102E-04
1.21721054E-02  4.47446555E-02  5.96530968E-04
1.33772643E-02  4.44112241E-02  5.46373287E-04
1.45824233E-02  4.42554951E-02  5.12449816E-04
1.57875822E-02  4.40506667E-02  4.96476842E-04
1.69927412E-02  4.45708156E-02  4.75901878E-04
1.81979001E-02  4.41937536E-02  4.44335071E-04
1.94030591E-02  4.38211858E-02  4.22835397E-04
2.06082180E-02  4.30026472E-02  3.95346666E-04
2.18133770E-02  4.30380523E-02  3.43245477E-04
2.30185359E-02  4.24279690E-02  3.04630166E-04
2.42236949E-02  4.19580102E-02  2.84688640E-04
2.54288538E-02  4.15133715E-02  2.72294041E-04
2.66340128E-02  4.12739605E-02  2.63019651E-04
2.78391717E-02  4.04002547E-02  2.55431375E-04
2.90443307E-02  3.99274319E-02  2.47930409E-04
3.02494896E-02  3.99960250E-02  2.41628964E-04
3.14546486E-02  3.93920660E-02  2.35831342E-04
3.26598075E-02  3.85403663E-02  2.26388569E-04
3.38649665E-02  3.82537186E-02  2.19943793E-04
3.56727049E-02  3.76418457E-02  1.50752916E-04
3.74804433E-02  3.68946761E-02  2.08633696E-04
3.92881817E-02  3.60360160E-02  1.44519367E-04
4.10959202E-02  3.48692268E-02  2.00601597E-04
4.29036586E-02  3.40566188E-02  1.39015379E-04
4.53139765E-02  3.30188960E-02  1.35999801E-04
4.77242944E-02  3.20453450E-02  1.32909459E-04
5.01346123E-02  3.09940219E-02  1.29637237E-04
5.25449302E-02  2.97956467E-02  1.27152598E-04
5.49552481E-02  2.86113426E-02  1.24298960E-04
5.73655660E-02  2.77475968E-02  1.21964508E-04
6.03784633E-02  2.63237993E-02  9.71052478E-05
6.33913607E-02  2.50826359E-02  1.15888116E-04
6.64042581E-02  2.39076123E-02  9.26879378E-05
7.00197349E-02  2.25112950E-02  9.01706833E-05
7.36352118E-02  2.13959133E-02  8.79576529E-05
7.78532681E-02  1.99595652E-02  7.39784640E-05
8.20713244E-02  1.85638090E-02  8.32130826E-05
8.62893808E-02  1.72398508E-02  7.02256678E-05
9.11100165E-02  1.60405036E-02  6.83406162E-05
9.59306524E-02  1.47843547E-02  6.65873063E-05
1.00751288E-01  1.38508443E-02  6.63594600E-05
1.06174503E-01  1.25299360E-02  6.21862763E-05
1.12200298E-01  1.16364807E-02  5.97260440E-05
1.18226093E-01  1.06415500E-02  5.64421336E-05
1.24251888E-01  9.79039789E-03  5.45009598E-05
1.30880262E-01  8.92099552E-03  4.81938801E-05
1.38111216E-01  8.06849164E-03  4.66660683E-05
1.45944749E-01  7.30605328E-03  4.18922995E-05
1.53778282E-01  6.65821222E-03  4.39994294E-05
