### DATA:
#
# 63
#      Q             I(Q)           Error     
1.09669464E-02  3.21173429E-02  8.13394599E-04
1.21721054E-02  3.26119661E-02  7.32221594E-04
1.33772643E-02  3.05550456E-02  6.70754164E-04
1.45824233E-02  2.89012372E-02  6.30214252E-04
1.57875822E-02  2.96883345E-02  6.13474241E-04
1.69927412E-02  2.84390807E-02  5.86834922E-04
1.81979001E-02  2.77526528E-02  5.47821168E-04
1.94030591E-02  2.82294154E-02  5.22249611E-04
2.06082180E-02  2.74360418E-02  4.89504589E-04
2.18133770E-02  2.57871091E-02  4.24607098E-04
2.30185359E-02  2.61333853E-02  3.78054148E-04
2.42236949E-02  2.62558699E-02  3.52981105E-04
2.54288538E-02  2.55176008E-02  3.37943854E-04
2.66340128E-02  2.51856029E-02  3.26560228E-04
2.78391717E-02  2.49975845E-02  3.18423822E-04
2.90443307E-02  2.47621760E-02  3.09532578E-04
3.02494896E-02  2.41991609E-02  3.01038055E-04
3.14546486E-02  2.41459519E-02  2.94751232E-04
3.26598075E-02  2.31128722E-02  2.83377431E-04
3.38649665E-02  2.27607295E-02  2.75359466E-04
3.56727049E-02  2.25749791E-02  1.88982146E-04
3.74804433E-02  2.25062653E-02  2.62569753E-04
3.92881817E-02  2.09778644E-02  1.81832953E-04
4.10959202E-02  2.02481121E-02  2.53138226E-04
4.29036586E-02  1.99384972E-02  1.75786779E-04
4.53139765E-02  1.92348331E-02  1.72441242E-04
4.77242944E-02  1.84407577E-02  1.68952483E-04
5.01346123E-02  1.78428233E-02  1.65189739E-04
5.25449302E-02  1.69884413E-02  1.62442841E-04
5.49552481E-02  1.58507869E-02  1.59315769E-04
5.73655660E-02  1.51954792E-02  1.56634204E-04
6.03784633E-02  1.46469822E-02  1.25173742E-04
6.33913607E-02  1.37783676E-02  1.49871738E-04
6.64042581E-02  1.31305019E-02  1.20166140E-04
7.00197349E-02  1.22355719E-02  1.17311184E-04
7.36352118E-02  1.11570463E-02  1.14661911E-04
7.78532681E-02  1.03527933E-02  9.67636950E-05
8.20713244E-02  9.72411931E-03  1.09261186E-04
8.62893807E-02  8.83243196E-03  9.24778982E-05
9.11100165E-02  8.18222053E-03  9.02169993E-05
9.59306523E-02  7.44119734E-03  8.81597172E-05
1.00751288E-01  6.86867833E-03  8.80594412E-05
1.06174503E-01  6.21894240E-03  8.27124278E-05
1.12200298E-01  5.82286090E-03  7.96267610E-05
1.18226093E-01  5.32070369E-03  7.54094430E-05
1.24251888E-01  4.93798167E-03  7.29321597E-05
1.30880262E-01  4.45387339E-03  6.45963954E-05
1.38111216E-01  3.99463599E-03  6.26220719E-05
1.45944749E-01  3.62151350E-03  5.62790701E-05
1.53778282E-01  3.22843591E-03  5.91634400E-05
1.62214395E-01  3.01145650E-03  4.98383835E-05
1.71253087E-01  2.66749220E-03  5.17642318E-05
1.80291779E-01  2.35807784E-03  4.71762675E-05
1.90535630E-01  2.09885355E-03  4.32534834E-05
2.01382060E-01  1.90701005E-03  4.20587673E-05
2.12228491E-01  1.70402875E-03  4.16617252E-05
2.23677501E-01  1.48131460E-03  3.84765536E-05
2.36331670E-01  1.29049028E-03  3.77258148E-05
2.49588418E-01  1.10729432E-03  3.85626041E-05
2.63447746E-01  9.50529178E-04  3.68761787E-05
2.78512233E-01  8.29884410E-04  3.72310380E-05
2.94179299E-01  7.29658627E-04  3.76706889E-05
3.10448945E-01  5.45519165E-04  3.67563683E-05


### HEADER:
#
#{
#    "analysis": {
#        "guinier": {
#            "I0": "0.029315789189258378",
#            "I0_autorg_err": -1,
#            "I0_err": 0.00014953709541348968,
#            "I0_est_err": 0.0001298715651946043,
#            "I0_fit_err": 0.00014953709541348968,
#            "Rg": "24.732118621580327",
#            "Rg_autorg_err": -1,
#            "Rg_err": 0.2434656432859484,
#            "Rg_est_err": 0.2434656432859484,
#            "Rg_fit_err": 0.1963471693574002,
#            "nEnd": 31,
#            "nStart": 6,
#            "qEnd": "0.05254",
#            "qRg_max": "1.2995474466690584",
#            "qRg_min": "0.3606542228456968",
#            "qStart": "0.01458",
#            "rsq": "0.9803986595538385"
#        }
#    },
#    "calibration_params": {
#        "Beam_Center_X": 1093.0,
#        "Beam_Center_Y": 2069.0,
#        "Detector Tilt": 0.0,
#        "Detector Tilt Plane Rotation": 0.0,
#        "Detector_X_Pixel_Size": 75.0,
#        "Detector_Y_Pixel_Size": 75.0,
#        "Integration Method": "nosplit_csr",
#        "Radial_Average_Method": "pyFAI",
#        "Sample-to-detector distance (mm)": 1781.0,
#        "Wavelength (A)": 1.0937797326179362
#    },
#    "config_file": "/nfs/chess/daq/2024-1/id7a/Pollack_02_02_24/SAXS_02_02_24.cfg",
#    "counters": {
#        "I1": "0",
#        "I2": "0",
#        "I3": "0",
#        "Seconds": "1"
#    },
#    "filename": "CP600_MP.dat",
#    "history": {
#        "log_binning": {
#            "final_points": 72,
#            "initial_file": [
#                "R_S_rC30+PR30, 250uM, 600mM Na",
#                {
#                    "linear_binning": {
#                        "final_points": 362,
#                        "initial_file": [
#                            "S_rC30+PR30, 250uM, 600mM Na",
#                            {
#                                "subtraction": {
#                                    "initial_file": [
#                                        "rC30+PR30, 250uM, 600mM Na",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000001_00001.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000002_00002.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000003_00003.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000004_00004.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000005_00005.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000006_00006.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000007_00007.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000008_00008.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000009_00009.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000010_00010.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000011_00011.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000012_00012.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000013_00013.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000014_00014.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000015_00015.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000016_00016.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000017_00017.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000018_00018.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000019_00019.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000020_00020.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000021_00021.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000022_00022.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000023_00023.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000024_00024.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000025_00025.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000026_00026.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000027_00027.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000028_00028.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000029_00029.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000030_00030.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000031_00031.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000032_00032.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000033_00033.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000034_00034.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000035_00035.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000036_00036.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000037_00037.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000038_00038.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000039_00039.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000040_00040.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000041_00041.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000042_00042.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000043_00043.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000044_00044.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000045_00045.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000046_00046.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000047_00047.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000048_00048.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000049_00049.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000050_00050.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000051_00051.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000052_00052.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000053_00053.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000054_00054.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000055_00055.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000056_00056.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000057_00057.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000058_00058.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000059_00059.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000060_00060.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000061_00061.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000062_00062.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000063_00063.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000064_00064.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000065_00065.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000066_00066.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000067_00067.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000068_00068.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000069_00069.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000070_00070.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000071_00071.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000072_00072.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000073_00073.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000074_00074.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000075_00075.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000076_00076.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000077_00077.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000078_00078.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000079_00079.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000080_00080.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000081_00081.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000082_00082.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000083_00083.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000084_00084.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000085_00085.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000086_00086.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000087_00087.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000088_00088.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000089_00089.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000090_00090.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000091_00091.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000092_00092.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000093_00093.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000094_00094.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000095_00095.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000096_00096.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000097_00097.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000098_00098.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000099_00099.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_14_data_000100_00100.h5"
#                                                ]
#                                            ]
#                                        }
#                                    ],
#                                    "subtracted_file": [
#                                        "A_buffer 600mM Na | allAveragedWell",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "buffer 600mM Na",
#                                                    {
#                                                        "averaged_files": [
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000001_00001.h5"
#                                                            ],
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000002_00002.h5"
#                                                            ],
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000004_00004.h5"
#                                                            ],
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000005_00005.h5"
#                                                            ],
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000006_00006.h5"
#                                                            ],
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000007_00007.h5"
#                                                            ],
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000008_00008.h5"
#                                                            ],
#                                                            [
#                                                                "RNAPR30_MPsucrose_5_data_000009_00009.h5"
#                                                            ],
#                                                            [
