### DATA:
#
# 362
#      Q             I(Q)           Error     
7.35146959E-03  1.37297726E-01  3.66411023E-03
8.55662854E-03  1.24634147E-01  2.28075460E-03
9.76178749E-03  1.19629633E-01  1.85335483E-03
1.09669464E-02  1.19844770E-01  1.62649322E-03
1.21721054E-02  1.12993097E-01  1.46260234E-03
1.33772643E-02  1.12760663E-01  1.34801902E-03
1.45824233E-02  1.11868978E-01  1.27333272E-03
1.57875822E-02  1.09989595E-01  1.24007175E-03
1.69927412E-02  1.09606338E-01  1.19011663E-03
1.81979001E-02  1.06840563E-01  1.10984035E-03
1.94030591E-02  1.04429305E-01  1.05683571E-03
2.06082180E-02  1.02080321E-01  9.90762189E-04
2.18133770E-02  1.01105869E-01  8.60577263E-04
2.30185359E-02  1.00231063E-01  7.65578030E-04
2.42236949E-02  9.70661700E-02  7.13605154E-04
2.54288538E-02  9.61497784E-02  6.82778982E-04
2.66340128E-02  9.39413548E-02  6.58559706E-04
2.78391717E-02  9.20618057E-02  6.40901644E-04
2.90443307E-02  9.07758176E-02  6.22710073E-04
3.02494896E-02  8.89006615E-02  6.05204282E-04
3.14546486E-02  8.77299309E-02  5.91883296E-04
3.26598075E-02  8.57598305E-02  5.68171218E-04
3.38649665E-02  8.38286877E-02  5.51698031E-04
3.50701254E-02  8.21264207E-02  5.37697878E-04
3.62752844E-02  7.97278464E-02  5.28968684E-04
3.74804433E-02  7.85103619E-02  5.22604398E-04
3.86856023E-02  7.71830857E-02  5.15328906E-04
3.98907612E-02  7.50842571E-02  5.08396560E-04
4.10959202E-02  7.27837324E-02  5.02712559E-04
4.23010791E-02  7.07308888E-02  4.95593157E-04
4.35062381E-02  6.93237603E-02  4.88942442E-04
4.47113970E-02  6.81367218E-02  4.85209515E-04
4.59165560E-02  6.63179994E-02  4.78834286E-04
4.71217149E-02  6.43401861E-02  4.74433508E-04
4.83268739E-02  6.32176936E-02  4.67093196E-04
4.95320328E-02  6.19818151E-02  4.62927902E-04
5.07371917E-02  6.00462735E-02  4.56494978E-04
5.19423507E-02  5.92301488E-02  4.53952234E-04
5.31475096E-02  5.66563487E-02  4.48615942E-04
5.43526686E-02  5.53554058E-02  4.43447474E-04
5.55578275E-02  5.38361967E-02  4.39363252E-04
5.67629865E-02  5.26348293E-02  4.35918896E-04
5.79681454E-02  5.14621675E-02  4.30803187E-04
5.91733044E-02  4.99526083E-02  4.26481990E-04
6.03784633E-02  4.82794076E-02  4.23199357E-04
6.15836223E-02  4.74860221E-02  4.19469504E-04
6.27887812E-02  4.58374083E-02  4.14333120E-04
6.39939402E-02  4.43989873E-02  4.11217194E-04
6.51990991E-02  4.38086450E-02  4.08272911E-04
6.64042581E-02  4.23430115E-02  4.05273773E-04
6.76094170E-02  4.14226651E-02  4.00743634E-04
6.88145760E-02  4.05194551E-02  3.97498440E-04
7.00197349E-02  3.89212728E-02  3.94363515E-04
7.12248939E-02  3.83030236E-02  3.91723029E-04
7.24300528E-02  3.71657431E-02  3.88421863E-04
7.36352118E-02  3.63148361E-02  3.85488453E-04
7.48403707E-02  3.56950998E-02  3.81958159E-04
7.60455297E-02  3.43933582E-02  3.80498404E-04
7.72506886E-02  3.38554025E-02  3.75590893E-04
7.84558476E-02  3.33870679E-02  3.73238255E-04
7.96610065E-02  3.19408059E-02  3.71152093E-04
8.08661655E-02  3.13864052E-02  3.68623179E-04
8.20713244E-02  3.06984931E-02  3.67269036E-04
8.32764834E-02  2.92211533E-02  3.62939294E-04
8.44816423E-02  2.93078393E-02  3.61166615E-04
8.56868013E-02  2.81694055E-02  3.58702336E-04
8.68919602E-02  2.77691931E-02  3.56493751E-04
8.80971192E-02  2.68253863E-02  3.54140089E-04
8.93022781E-02  2.59324551E-02  3.51767801E-04
9.05074371E-02  2.54793167E-02  3.49872513E-04
9.17125960E-02  2.49366328E-02  3.47996783E-04
9.29177550E-02  2.41551042E-02  3.45007214E-04
9.41229139E-02  2.39596292E-02  3.43358470E-04
9.53280729E-02  2.33465105E-02  3.41613451E-04
9.65332318E-02  2.25203171E-02  3.39322491E-04
9.77383908E-02  2.21418247E-02  3.37835238E-04
9.89435497E-02  2.16612935E-02  3.35142063E-04
1.00148709E-01  2.15337574E-02  3.34327598E-04
1.01353868E-01  2.08678663E-02  3.42451781E-04
1.02559027E-01  2.07639009E-02  3.47723649E-04
1.03764186E-01  1.97890133E-02  3.52136791E-04
1.04969344E-01  1.97263390E-02  3.54397693E-04
1.06174503E-01  1.94062948E-02  3.57561605E-04
1.07379662E-01  1.83588654E-02  3.59395728E-04
1.08584821E-01  1.86000049E-02  3.61836166E-04
1.09789980E-01  1.79948643E-02  3.58127663E-04
1.10995139E-01  1.78735703E-02  3.47447651E-04
1.12200298E-01  1.74015939E-02  3.41553870E-04
1.13405457E-01  1.68058515E-02  3.37151531E-04
1.14610616E-01  1.66905999E-02  3.33671668E-04
1.15815775E-01  1.64796337E-02  3.30386241E-04
1.17020934E-01  1.60475656E-02  3.27891228E-04
1.18226093E-01  1.55217454E-02  3.25030182E-04
1.19431252E-01  1.55289888E-02  3.22422362E-04
1.20636411E-01  1.51628897E-02  3.20550939E-04
1.21841570E-01  1.50416419E-02  3.18754744E-04
1.23046729E-01  1.43963516E-02  3.16334353E-04
1.24251888E-01  1.44530773E-02  3.14142019E-04
1.25457047E-01  1.40693203E-02  3.12627130E-04
1.26662206E-01  1.37408018E-02  3.10744555E-04
1.27867364E-01  1.35581627E-02  3.08890129E-04
1.29072523E-01  1.35874733E-02  3.06975748E-04
1.30277682E-01  1.31473005E-02  3.05985543E-04
1.31482841E-01  1.31493896E-02  3.04369722E-04
1.32688000E-01  1.27423853E-02  3.03420890E-04
1.33893159E-01  1.26373038E-02  3.01636592E-04
1.35098318E-01  1.24146432E-02  2.99362931E-04
1.36303477E-01  1.19490564E-02  2.98133260E-04
1.37508636E-01  1.17969871E-02  2.97222473E-04
1.38713795E-01  1.19139031E-02  2.95062945E-04
1.39918954E-01  1.16099805E-02  2.93961121E-04
1.41124113E-01  1.13391995E-02  2.92735337E-04
1.42329272E-01  1.12190254E-02  2.91445642E-04
1.43534431E-01  1.08881257E-02  2.89584836E-04
1.44739590E-01  1.10372320E-02  2.88526737E-04
1.45944749E-01  1.07064508E-02  2.87813926E-04
1.47149908E-01  1.04565151E-02  2.86566187E-04
1.48355067E-01  1.02140598E-02  2.84688850E-04
