### DATA:
#
# 63
#      Q             I(Q)           Error     
1.09669464E-02  2.76384950E-02  8.11505597E-04
1.21721054E-02  2.67194152E-02  7.28647504E-04
1.33772643E-02  2.52717316E-02  6.67508272E-04
1.45824233E-02  2.72414863E-02  6.30298350E-04
1.57875822E-02  2.62161463E-02  6.12247409E-04
1.69927412E-02  2.55053818E-02  5.86317666E-04
1.81979001E-02  2.51004398E-02  5.48101123E-04
1.94030591E-02  2.47934580E-02  5.21533005E-04
2.06082180E-02  2.38046318E-02  4.88731777E-04
2.18133770E-02  2.38989428E-02  4.25020512E-04
2.30185359E-02  2.33320117E-02  3.78001621E-04
2.42236949E-02  2.36461684E-02  3.53002897E-04
2.54288538E-02  2.32971221E-02  3.38250399E-04
2.66340128E-02  2.24830434E-02  3.26396758E-04
2.78391717E-02  2.21172139E-02  3.18228779E-04
2.90443307E-02  2.22173408E-02  3.09571926E-04
3.02494896E-02  2.19978452E-02  3.01139988E-04
3.14546486E-02  2.12217897E-02  2.94638984E-04
3.26598075E-02  2.13923126E-02  2.83712614E-04
3.38649665E-02  2.08736137E-02  2.75644311E-04
3.56727049E-02  2.01644704E-02  1.88989215E-04
3.74804433E-02  1.97710484E-02  2.62511126E-04
3.92881817E-02  1.89774714E-02  1.81964262E-04
4.10959202E-02  1.85133949E-02  2.53457227E-04
4.29036586E-02  1.82282791E-02  1.75991556E-04
4.53139765E-02  1.80741705E-02  1.72816976E-04
4.77242944E-02  1.68922752E-02  1.69238351E-04
5.01346123E-02  1.63022883E-02  1.65487353E-04
5.25449302E-02  1.58983901E-02  1.62799118E-04
5.49552481E-02  1.49028555E-02  1.59700475E-04
5.73655660E-02  1.42497368E-02  1.57043973E-04
6.03784633E-02  1.36688953E-02  1.25474550E-04
6.33913607E-02  1.27836704E-02  1.50208093E-04
6.64042581E-02  1.23429755E-02  1.20501221E-04
7.00197349E-02  1.15896851E-02  1.17676076E-04
7.36352118E-02  1.07853467E-02  1.15040119E-04
7.78532681E-02  1.00906439E-02  9.71120266E-05
8.20713244E-02  9.39256748E-03  1.09638314E-04
8.62893807E-02  8.54473636E-03  9.28070356E-05
9.11100165E-02  8.09064321E-03  9.05712352E-05
9.59306523E-02  7.48164319E-03  8.85255710E-05
1.00751288E-01  6.86271749E-03  8.84061790E-05
1.06174503E-01  6.40573710E-03  8.30790406E-05
1.12200298E-01  5.86198121E-03  7.99488623E-05
1.18226093E-01  5.42675853E-03  7.57217328E-05
1.24251888E-01  5.11750340E-03  7.32456276E-05
1.30880262E-01  4.60829064E-03  6.48737441E-05
1.38111216E-01  4.25386628E-03  6.29002094E-05
1.45944749E-01  3.89915407E-03  5.65287069E-05
1.53778282E-01  3.52372701E-03  5.94263988E-05
1.62214395E-01  3.28962263E-03  5.00595449E-05
1.71253087E-01  2.97245362E-03  5.19967315E-05
1.80291779E-01  2.64653377E-03  4.73878960E-05
1.90535630E-01  2.46169998E-03  4.34534740E-05
2.01382060E-01  2.20468856E-03  4.22475638E-05
2.12228491E-01  1.93143355E-03  4.18446180E-05
2.23677501E-01  1.71187565E-03  3.86438350E-05
2.36331670E-01  1.53108456E-03  3.78950817E-05
2.49588418E-01  1.40562356E-03  3.87339820E-05
2.63447746E-01  1.24410242E-03  3.70413535E-05
2.78512233E-01  1.12505016E-03  3.73961182E-05
2.94179299E-01  9.37597568E-04  3.78351438E-05
3.10448945E-01  8.21990839E-04  3.69171299E-05


### HEADER:
#
#{
#    "analysis": {
#        "guinier": {
#            "I0": "0.025882414396552388",
#            "I0_autorg_err": -1,
#            "I0_err": 0.0001418120952935125,
#            "I0_est_err": 9.466082192122075e-05,
#            "I0_fit_err": 0.0001418120952935125,
#            "Rg": "23.531725807882957",
#            "Rg_autorg_err": -1,
#            "Rg_err": 0.204077007014525,
#            "Rg_est_err": 0.18878034869552374,
#            "Rg_fit_err": 0.204077007014525,
#            "nEnd": 32,
#            "nStart": 7,
#            "qEnd": "0.05496",
#            "qRg_max": "1.293191829993381",
#            "qRg_min": "0.3715090554998136",
#            "qStart": "0.01579",
#            "rsq": "0.9827705137118329"
#        }
#    },
#    "calibration_params": {
#        "Beam_Center_X": 1093.0,
#        "Beam_Center_Y": 2069.0,
#        "Detector Tilt": 0.0,
#        "Detector Tilt Plane Rotation": 0.0,
#        "Detector_X_Pixel_Size": 75.0,
#        "Detector_Y_Pixel_Size": 75.0,
#        "Integration Method": "nosplit_csr",
#        "Radial_Average_Method": "pyFAI",
#        "Sample-to-detector distance (mm)": 1781.0,
#        "Wavelength (A)": 1.0937797326179362
#    },
#    "config_file": "/nfs/chess/daq/2024-1/id7a/Pollack_02_02_24/SAXS_02_02_24.cfg",
#    "counters": {
#        "I1": "0",
#        "I2": "0",
#        "I3": "0",
#        "Seconds": "1"
#    },
#    "filename": "C600_MP.dat",
#    "history": {
#        "log_binning": {
#            "final_points": 72,
#            "initial_file": [
#                "R_S_rC30 250uM, 600mM Na",
#                {
#                    "linear_binning": {
#                        "final_points": 362,
#                        "initial_file": [
#                            "S_rC30 250uM, 600mM Na",
#                            {
#                                "subtraction": {
#                                    "initial_file": [
#                                        "rC30 250uM, 600mM Na",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000001_00001.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000002_00002.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000003_00003.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000004_00004.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000005_00005.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000006_00006.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000007_00007.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000008_00008.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000009_00009.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000010_00010.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000011_00011.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000012_00012.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000013_00013.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000014_00014.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000015_00015.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000016_00016.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000017_00017.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000018_00018.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000019_00019.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000020_00020.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000021_00021.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000022_00022.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000023_00023.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000024_00024.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000025_00025.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000026_00026.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000027_00027.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000028_00028.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000029_00029.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000030_00030.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000031_00031.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000032_00032.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000033_00033.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000034_00034.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_MPsucrose_12_data_000035_00035.h5"
#                                                ],
#                                                [
