### DATA:
#
# 63
#      Q             I(Q)           Error     
1.09669464E-02  5.10776460E-02  7.98576418E-04
1.21721054E-02  5.13451815E-02  7.12110475E-04
1.33772643E-02  4.97562647E-02  6.51692972E-04
1.45824233E-02  4.93401885E-02  6.12556096E-04
1.57875822E-02  4.95768726E-02  5.96836675E-04
1.69927412E-02  4.83282506E-02  5.69682568E-04
1.81979001E-02  4.75942433E-02  5.30386809E-04
1.94030591E-02  4.73995000E-02  5.05195605E-04
2.06082180E-02  4.74426478E-02  4.73426003E-04
2.18133770E-02  4.64173615E-02  4.09431616E-04
2.30185359E-02  4.54345912E-02  3.64233949E-04
2.42236949E-02  4.57444668E-02  3.40745063E-04
2.54288538E-02  4.47542369E-02  3.25262733E-04
2.66340128E-02  4.44176972E-02  3.14224930E-04
2.78391717E-02  4.38015163E-02  3.05454805E-04
2.90443307E-02  4.37090456E-02  2.96950270E-04
3.02494896E-02  4.23986554E-02  2.88152997E-04
3.14546486E-02  4.19569045E-02  2.81701982E-04
3.26598075E-02  4.15795386E-02  2.70754937E-04
3.38649665E-02  4.09334421E-02  2.62757530E-04
3.56727049E-02  3.99367854E-02  1.79987991E-04
3.74804433E-02  3.87173474E-02  2.48975446E-04
3.92881817E-02  3.80557478E-02  1.72394760E-04
4.10959202E-02  3.71018082E-02  2.39452836E-04
4.29036586E-02  3.62331822E-02  1.66072514E-04
4.53139765E-02  3.46845537E-02  1.62229314E-04
4.77242944E-02  3.35054294E-02  1.58666540E-04
5.01346123E-02  3.17608639E-02  1.54536932E-04
5.25449302E-02  3.07338879E-02  1.51751749E-04
5.49552481E-02  2.97698885E-02  1.48444308E-04
5.73655660E-02  2.82975495E-02  1.45470464E-04
6.03784633E-02  2.69297004E-02  1.15803454E-04
6.33913607E-02  2.57328406E-02  1.38326183E-04
6.64042581E-02  2.42244119E-02  1.10607473E-04
7.00197349E-02  2.28132566E-02  1.07652969E-04
7.36352118E-02  2.12242718E-02  1.04914204E-04
7.78532681E-02  1.98623631E-02  8.83206239E-05
8.20713244E-02  1.84211090E-02  9.94078378E-05
8.62893808E-02  1.71329695E-02  8.39326154E-05
9.11100165E-02  1.58679471E-02  8.17139112E-05
9.59306524E-02  1.48546502E-02  7.97022941E-05
1.00751288E-01  1.37582746E-02  7.94420372E-05
1.06174503E-01  1.27280454E-02  7.45236966E-05
1.12200298E-01  1.16885176E-02  7.16064002E-05
1.18226093E-01  1.08064574E-02  6.77374658E-05
1.24251888E-01  1.00701857E-02  6.54347399E-05
1.30880262E-01  9.17420040E-03  5.78871570E-05
1.38111216E-01  8.46157533E-03  5.60688523E-05
1.45944749E-01  7.74513355E-03  5.03521450E-05
1.53778282E-01  7.15316571E-03  5.29177833E-05
1.62214394E-01  6.45461022E-03  4.45355471E-05
1.71253087E-01  5.86930364E-03  4.62533747E-05
1.80291778E-01  5.30711883E-03  4.21331671E-05
1.90535630E-01  4.73058257E-03  3.86206660E-05
2.01382060E-01  4.25304733E-03  3.75431175E-05
2.12228491E-01  3.84509141E-03  3.71817736E-05
2.23677501E-01  3.44876371E-03  3.43358425E-05
2.36331670E-01  3.09511227E-03  3.36588894E-05
2.49588418E-01  2.68633041E-03  3.44039600E-05
2.63447746E-01  2.38671014E-03  3.29060107E-05
2.78512233E-01  2.09219504E-03  3.32174594E-05
2.94179299E-01  1.84201713E-03  3.36120955E-05
3.10448945E-01  1.61589230E-03  3.28005463E-05


### HEADER:
#
#{
#    "analysis": {
#        "guinier": {
#            "I0": "0.05061219610207434",
#            "I0_autorg_err": -1,
#            "I0_err": 0.00013867935051931098,
#            "I0_est_err": 4.51593493908336e-05,
#            "I0_fit_err": 0.00013867935051931098,
#            "Rg": "23.45363024309025",
#            "Rg_autorg_err": -1,
#            "Rg_err": 0.10945795971198903,
#            "Rg_est_err": 0.047301475983866116,
#            "Rg_fit_err": 0.10945795971198903,
#            "nEnd": 31,
#            "nStart": 5,
#            "qEnd": "0.05254",
#            "qRg_max": "1.2323693628871046",
#            "qRg_min": "0.3137454105562915",
#            "qStart": "0.01338",
#            "rsq": "0.9961816706555691"
#        }
#    },
#    "calibration_params": {
#        "Beam_Center_X": 1093.0,
#        "Beam_Center_Y": 2069.0,
#        "Detector Tilt": 0.0,
#        "Detector Tilt Plane Rotation": 0.0,
#        "Detector_X_Pixel_Size": 75.0,
#        "Detector_Y_Pixel_Size": 75.0,
#        "Integration Method": "nosplit_csr",
#        "Radial_Average_Method": "pyFAI",
#        "Sample-to-detector distance (mm)": 1781.0,
#        "Wavelength (A)": 1.0937797326179362
#    },
#    "config_file": "/nfs/chess/daq/2024-1/id7a/Pollack_02_02_24/SAXS_02_02_24.cfg",
#    "counters": {
#        "I1": "0",
#        "I2": "0",
#        "I3": "0",
#        "Seconds": "1"
#    },
#    "filename": "C600_0S.dat",
#    "history": {
#        "log_binning": {
#            "final_points": 72,
#            "initial_file": [
#                "R_rC30 250uM, 600mM NaCl.dat",
#                {
#                    "linear_binning": {
#                        "final_points": 362,
#                        "initial_file": [
#                            "rC30 250uM, 600mM NaCl",
#                            {
#                                "subtraction": {
#                                    "initial_file": [
#                                        "A_RNAPR30_0sucrose_6_data_000001_00001",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000001_00001.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000002_00002.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000003_00003.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000004_00004.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000005_00005.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000006_00006.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000007_00007.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000008_00008.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000009_00009.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000010_00010.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000011_00011.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000012_00012.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000013_00013.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000014_00014.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000015_00015.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000016_00016.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000017_00017.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000018_00018.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000019_00019.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000020_00020.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000021_00021.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000022_00022.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000023_00023.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_6_data_000024_00024.h5"
#                                                ]
#                                            ]
#                                        }
#                                    ],
#                                    "subtracted_file": [
#                                        "A_RNAPR30_0sucrose_5_data_000001_00001",
#                                        {
#                                            "averaged_files": [
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000001_00001.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000002_00002.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000003_00003.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000004_00004.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000005_00005.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000006_00006.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000007_00007.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000009_00009.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000010_00010.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000011_00011.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000012_00012.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000013_00013.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000014_00014.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000015_00015.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000016_00016.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000017_00017.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000018_00018.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000019_00019.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000020_00020.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000021_00021.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000022_00022.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000023_00023.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000024_00024.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000025_00025.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000026_00026.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000027_00027.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000028_00028.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000029_00029.h5"
#                                                ],
#                                                [
#                                                    "RNAPR30_0sucrose_5_data_000030_00030.h5"
#                                                ]
#                                            ]
#                                        }
#                                    ]
#                                }
#                            }
#                        ],
#                        "initial_points": 1811
#                    }
#                }
#            ],
#            "initial_points": 362
#        }
#    },
#    "normalizations": {
#        "Absolute_scale": {
#            "Absolute_scale_factor": 0.014636799358749463,
#            "Method": "Water"
#        },
#        "Counter_norms": [
#            [
#                "/",
#                "diode/150000"
#            ]
#        ],
#        "Polarization": {
#            "Used": false
#        },
#        "Solid_Angle_Correction": "On"
#    },
#    "raw_version": "2.2.1",
#    "unit": ""
#}

