### DATA:
#
# 362
#      Q             I(Q)           Error     
7.35146959E-03  1.05339050E-01  2.30389405E-03
8.55662854E-03  6.30610704E-02  1.39137702E-03
9.76178749E-03  3.68459791E-02  1.09385280E-03
1.09669464E-02  2.81725973E-02  9.30164848E-04
1.21721054E-02  2.07764626E-02  8.29898007E-04
1.33772643E-02  1.78194851E-02  7.58924941E-04
1.45824233E-02  1.39876932E-02  7.11621949E-04
1.57875822E-02  1.14523202E-02  6.90458529E-04
1.69927412E-02  1.17873102E-02  6.60390034E-04
1.81979001E-02  1.00464478E-02  6.16155937E-04
1.94030591E-02  1.02999106E-02  5.86291542E-04
2.06082180E-02  1.03226215E-02  5.50074084E-04
2.18133770E-02  8.89322758E-03  4.77416301E-04
2.30185359E-02  8.89934748E-03  4.24902001E-04
2.42236949E-02  8.74587148E-03  3.96934338E-04
2.54288538E-02  8.59071761E-03  3.80280288E-04
2.66340128E-02  8.25161040E-03  3.67753510E-04
2.78391717E-02  8.46067369E-03  3.58260935E-04
2.90443307E-02  7.87660927E-03  3.48549150E-04
3.02494896E-02  7.73644298E-03  3.38816037E-04
3.14546486E-02  7.09003061E-03  3.32098198E-04
3.26598075E-02  7.40881562E-03  3.19460267E-04
3.38649665E-02  7.08642751E-03  3.10662924E-04
3.50701254E-02  7.12300688E-03  3.03694583E-04
3.62752844E-02  7.23629147E-03  2.99521373E-04
3.74804433E-02  6.82356358E-03  2.95998272E-04
3.86856023E-02  7.02362657E-03  2.92198616E-04
3.98907612E-02  6.34703785E-03  2.89055030E-04
4.10959202E-02  6.48853034E-03  2.86283600E-04
4.23010791E-02  6.44099265E-03  2.83139921E-04
4.35062381E-02  6.50591850E-03  2.79545458E-04
4.47113970E-02  5.83339930E-03  2.77808728E-04
4.59165560E-02  6.01389706E-03  2.74836621E-04
4.71217149E-02  6.31368458E-03  2.72981636E-04
4.83268739E-02  5.85502386E-03  2.69028125E-04
4.95320328E-02  5.90665787E-03  2.66795093E-04
5.07371917E-02  5.86034358E-03  2.63587502E-04
5.19423507E-02  5.43854386E-03  2.62281764E-04
5.31475096E-02  5.72919548E-03  2.59939441E-04
