### DATA:
#
# 362
#      Q             I(Q)           Error     
7.35146959E-03  1.49811339E-01  1.71207748E-03
8.55662854E-03  1.22579908E-01  9.74303763E-04
9.76178749E-03  1.08103967E-01  7.56729674E-04
1.09669464E-02  9.91508424E-02  6.42832741E-04
1.21721054E-02  9.40534592E-02  5.70271350E-04
1.33772643E-02  9.16904211E-02  5.21983299E-04
1.45824233E-02  8.90240073E-02  4.89519769E-04
1.57875822E-02  8.78517389E-02  4.74844873E-04
1.69927412E-02  8.47604752E-02  4.54133144E-04
1.81979001E-02  8.40793252E-02  4.22713393E-04
1.94030591E-02  8.25283647E-02  4.02105646E-04
2.06082180E-02  8.04265082E-02  3.76721425E-04
2.18133770E-02  7.93942451E-02  3.26439319E-04
2.30185359E-02  7.77058482E-02  2.90318672E-04
2.42236949E-02  7.68145263E-02  2.70267623E-04
2.54288538E-02  7.56601453E-02  2.58543831E-04
2.66340128E-02  7.41086841E-02  2.49645533E-04
2.78391717E-02  7.24759579E-02  2.42472067E-04
2.90443307E-02  7.17096269E-02  2.35626707E-04
3.02494896E-02  7.02161312E-02  2.28652987E-04
3.14546486E-02  6.88138962E-02  2.23324308E-04
3.26598075E-02  6.76601708E-02  2.14652694E-04
3.38649665E-02  6.62619710E-02  2.08430202E-04
3.50701254E-02  6.45572543E-02  2.03244877E-04
3.62752844E-02  6.34940743E-02  1.99778401E-04
3.74804433E-02  6.19333327E-02  1.97397196E-04
3.86856023E-02  6.09140873E-02  1.94533379E-04
3.98907612E-02  5.90299845E-02  1.91772776E-04
4.10959202E-02  5.79926968E-02  1.89537555E-04
4.23010791E-02  5.67037165E-02  1.86984614E-04
4.35062381E-02  5.53303897E-02  1.84397574E-04
4.47113970E-02  5.41049361E-02  1.82865770E-04
4.59165560E-02  5.27481019E-02  1.80466997E-04
4.71217149E-02  5.15190005E-02  1.78883830E-04
4.83268739E-02  5.04300475E-02  1.75913586E-04
4.95320328E-02  4.92819339E-02  1.74232200E-04
5.07371917E-02  4.82259870E-02  1.71572203E-04
5.19423507E-02  4.66991991E-02  1.70661486E-04
5.31475096E-02  4.56631064E-02  1.68774661E-04
5.43526686E-02  4.46136832E-02  1.66676182E-04
5.55578275E-02  4.32044148E-02  1.65255333E-04
5.67629865E-02  4.21624184E-02  1.63816835E-04
5.79681454E-02  4.13084090E-02  1.61684840E-04
5.91733044E-02  4.01607394E-02  1.60085806E-04
6.03784633E-02  3.91526878E-02  1.58868963E-04
6.15836223E-02  3.79795253E-02  1.57302048E-04
6.27887812E-02  3.69395554E-02  1.55485386E-04
6.39939402E-02  3.63728613E-02  1.54145469E-04
6.51990991E-02  3.52340400E-02  1.52961095E-04
6.64042581E-02  3.43461871E-02  1.51850178E-04
6.76094170E-02  3.33591551E-02  1.50017324E-04
6.88145760E-02  3.27672601E-02  1.48703903E-04
7.00197349E-02  3.15943062E-02  1.47663045E-04
7.12248939E-02  3.08661461E-02  1.46573177E-04
7.24300528E-02  3.01480353E-02  1.45331817E-04
7.36352118E-02  2.93561637E-02  1.44063425E-04
7.48403707E-02  2.87369549E-02  1.42647407E-04
7.60455297E-02  2.78314769E-02  1.42282562E-04
7.72506886E-02  2.73816019E-02  1.40223431E-04
7.84558476E-02  2.65111268E-02  1.39230886E-04
7.96610065E-02  2.58077741E-02  1.38546084E-04
8.08661655E-02  2.51331091E-02  1.37438532E-04
8.20713244E-02  2.44990006E-02  1.36919052E-04
8.32764834E-02  2.37492830E-02  1.35374058E-04
8.44816423E-02  2.32476234E-02  1.34594843E-04
8.56868013E-02  2.25885451E-02  1.33613893E-04
8.68919602E-02  2.20014796E-02  1.32892595E-04
