### DATA:
#
# 63
#      Q             I(Q)           Error     
1.09669464E-02  2.05767661E-02  8.11237644E-04
1.21721054E-02  2.17574790E-02  7.30248061E-04
1.33772643E-02  2.07461961E-02  6.69493238E-04
1.45824233E-02  2.04507612E-02  6.30084364E-04
1.57875822E-02  2.09737964E-02  6.14553581E-04
1.69927412E-02  2.06277005E-02  5.87143196E-04
1.81979001E-02  2.05979444E-02  5.48937505E-04
1.94030591E-02  1.94224976E-02  5.22814164E-04
2.06082180E-02  1.92208916E-02  4.90718004E-04
2.18133770E-02  1.87469415E-02  4.26124044E-04
2.30185359E-02  1.86253026E-02  3.79177281E-04
2.42236949E-02  1.88564517E-02  3.54312894E-04
2.54288538E-02  1.91370830E-02  3.39245504E-04
2.66340128E-02  1.91608325E-02  3.28230394E-04
2.78391717E-02  1.80132367E-02  3.19577282E-04
2.90443307E-02  1.81004666E-02  3.10877381E-04
3.02494896E-02  1.78155221E-02  3.02654867E-04
3.14546486E-02  1.77347973E-02  2.96334700E-04
3.26598075E-02  1.70417532E-02  2.84966863E-04
3.38649665E-02  1.70726627E-02  2.77284649E-04
3.56727049E-02  1.66789602E-02  1.90105889E-04
3.74804433E-02  1.65105641E-02  2.64078550E-04
3.92881817E-02  1.54864360E-02  1.83116167E-04
4.10959202E-02  1.55582257E-02  2.55275139E-04
4.29036586E-02  1.49168130E-02  1.77222559E-04
4.53139765E-02  1.46837901E-02  1.73944335E-04
4.77242944E-02  1.40370905E-02  1.70543032E-04
5.01346123E-02  1.35317516E-02  1.66796363E-04
5.25449302E-02  1.28607363E-02  1.64171195E-04
5.49552481E-02  1.22844804E-02  1.61126507E-04
5.73655660E-02  1.19925696E-02  1.58485805E-04
6.03784633E-02  1.12978352E-02  1.26673947E-04
6.33913607E-02  1.06485728E-02  1.51746787E-04
6.64042581E-02  1.00435617E-02  1.21755656E-04
7.00197349E-02  9.54414954E-03  1.18915413E-04
7.36352118E-02  9.00313581E-03  1.16351933E-04
7.78532681E-02  8.32114033E-03  9.82589657E-05
8.20713244E-02  7.62796154E-03  1.10914000E-04
8.62893807E-02  7.01375119E-03  9.39528900E-05
9.11100165E-02  6.24031555E-03  9.17118679E-05
9.59306523E-02  5.89556098E-03  8.96636545E-05
1.00751288E-01  5.45156989E-03  8.95716203E-05
