### DATA:
#
# 63
#      Q             I(Q)           Error     
1.09669464E-02  4.08694655E-02  4.11974965E-04
1.21721054E-02  4.14139509E-02  3.66512802E-04
1.33772643E-02  4.10990179E-02  3.35608050E-04
1.45824233E-02  4.09035027E-02  3.14022368E-04
1.57875822E-02  4.11196142E-02  3.04817571E-04
1.69927412E-02  4.03677046E-02  2.91084172E-04
1.81979001E-02  4.01416302E-02  2.71056406E-04
1.94030591E-02  3.94645900E-02  2.58144038E-04
2.06082180E-02  3.96766365E-02  2.41884240E-04
2.18133770E-02  3.87430191E-02  2.09625741E-04
2.30185359E-02  3.86651278E-02  1.86330453E-04
2.42236949E-02  3.82968843E-02  1.73997274E-04
2.54288538E-02  3.78713965E-02  1.66422490E-04
2.66340128E-02  3.74107063E-02  1.60675694E-04
2.78391717E-02  3.68585020E-02  1.56401319E-04
2.90443307E-02  3.64122778E-02  1.51976955E-04
3.02494896E-02  3.59725595E-02  1.47690612E-04
3.14546486E-02  3.54689002E-02  1.44453091E-04
3.26598075E-02  3.50394726E-02  1.38807693E-04
3.38649665E-02  3.43752265E-02  1.34830014E-04
3.56727049E-02  3.36342960E-02  9.23000967E-05
3.74804433E-02  3.28862906E-02  1.27994933E-04
3.92881817E-02  3.19435284E-02  8.86035424E-05
4.10959202E-02  3.08767140E-02  1.23126921E-04
4.29036586E-02  3.03028538E-02  8.54137951E-05
4.53139765E-02  2.91010544E-02  8.36395887E-05
4.77242944E-02  2.80486285E-02  8.17936502E-05
5.01346123E-02  2.70417914E-02  7.98286831E-05
5.25449302E-02  2.58535102E-02  7.83522260E-05
5.49552481E-02  2.47983478E-02  7.67358741E-05
5.73655660E-02  2.37341903E-02  7.53081580E-05
6.03784633E-02  2.24793956E-02  6.00403928E-05
6.33913607E-02  2.12792784E-02  7.17451143E-05
6.64042581E-02  2.01127768E-02  5.74298162E-05
7.00197349E-02  1.87806840E-02  5.59502896E-05
7.36352118E-02  1.75829038E-02  5.46210310E-05
7.78532681E-02  1.61264624E-02  4.60073118E-05
8.20713244E-02  1.49019232E-02  5.18357102E-05
8.62893808E-02  1.38094563E-02  4.38048792E-05
9.11100165E-02  1.26584686E-02  4.26795232E-05
9.59306524E-02  1.16270704E-02  4.16575955E-05
1.00751288E-01  1.06863977E-02  4.15486648E-05
1.06174503E-01  9.77287203E-03  3.90121530E-05
1.12200298E-01  8.93086672E-03  3.75087900E-05
1.18226093E-01  8.09552968E-03  3.54893037E-05
1.24251888E-01  7.42003128E-03  3.43057499E-05
1.30880262E-01  6.77511493E-03  3.03715088E-05
1.38111216E-01  6.08376966E-03  2.94383888E-05
1.45944749E-01  5.50620625E-03  2.64523635E-05
1.53778282E-01  5.03273550E-03  2.78133044E-05
1.62214394E-01  4.49641263E-03  2.34240011E-05
1.71253087E-01  4.05973244E-03  2.43401819E-05
1.80291778E-01  3.67131559E-03  2.21838259E-05
1.90535630E-01  3.32190866E-03  2.03444170E-05
2.01382060E-01  2.94465911E-03  1.97885089E-05
2.12228491E-01  2.65459965E-03  1.96062145E-05
2.23677501E-01  2.37431511E-03  1.81108203E-05
2.36331670E-01  2.11036815E-03  1.77632404E-05
2.49588418E-01  1.83311000E-03  1.81618220E-05
2.63447746E-01  1.66025450E-03  1.73746220E-05
2.78512233E-01  1.46602854E-03  1.75433480E-05
2.94179299E-01  1.27808655E-03  1.77578264E-05
3.10448945E-01  1.10413964E-03  1.73324393E-05


### HEADER:
#
#{
#    "analysis": {
#        "guinier": {
#            "I0": "0.042375598624734896",
#            "I0_autorg_err": -1,
#            "I0_err": 7.961898171901187e-05,
#            "I0_est_err": 7.961898171901187e-05,
#            "I0_fit_err": 6.562218675608206e-05,
#            "Rg": "23.250000140540948",
#            "Rg_autorg_err": -1,
#            "Rg_err": 0.11843388526316058,
#            "Rg_est_err": 0.11843388526316058,
#            "Rg_fit_err": 0.058723628797907206,
#            "nEnd": 32,
#            "nStart": 3,
#            "qEnd": "0.05496",
#            "qRg_max": "1.2777095248859627",
